	target
5545	1
5658	0
1672	1
8146	1
4809	0
1102	1
4341	0
2592	0
10284	0
4343	0
9194	0
7540	0
805	1
3035	1
3685	0
7205	1
8816	1
2042	1
10613	1
2274	0
3936	1
7893	0
1912	0
9575	1
8955	0
10966	0
10430	0
6511	0
10721	1
5984	1
542	0
2856	1
1380	1
6521	1
8802	1
9738	1
5838	0
9664	0
4146	1
8834	0
4468	0
5152	1
603	1
5083	1
8705	1
9973	1
6226	0
8145	1
4257	1
10023	1
195	1
5113	1
8647	0
3063	0
3916	1
1176	0
1987	1
2914	1
9636	1
1436	1
5340	0
8075	0
11264	1
3638	0
10416	0
9817	0
3608	0
2178	1
11414	0
9620	1
1597	0
9484	0
5111	0
7484	0
1859	0
10598	1
2707	0
9001	1
6121	1
8789	0
258	0
5860	1
1850	0
10960	0
7165	0
9792	1
10132	1
10849	1
10914	1
9376	1
100	1
3338	0
3562	0
1545	0
10561	1
10435	0
8900	0
9128	0
1883	1
165	1
10552	1
207	0
65	0
2749	1
8555	1
4403	1
4090	0
9454	1
2116	1
3841	1
5741	0
2862	0
11364	0
5580	1
5674	1
8186	0
2329	1
7361	0
2154	0
4456	0
3625	1
7202	0
9816	1
6961	0
11332	1
9475	0
7043	1
9965	0
4001	1
3126	0
589	1
8779	0
1847	1
7438	0
330	1
7320	1
160	0
10415	1
7650	1
5472	1
6900	1
2052	1
9989	0
6804	0
1712	1
8394	0
3159	0
6207	0
1917	1
11428	1
10060	0
5773	1
11396	1
9861	1
4649	1
5042	1
11186	0
7682	1
1561	0
5584	1
9743	1
7364	0
4947	0
9249	0
6790	0
10983	0
7818	1
11314	1
4868	0
907	1
4537	1
1070	1
5673	1
4490	1
9099	0
5889	0
10719	0
514	0
962	0
5295	1
7010	0
7334	1
5628	0
2852	1
4156	1
10867	1
3331	0
5256	0
4472	0
11338	1
6340	1
9661	1
6484	1
7162	0
5555	1
13	0
2888	0
4900	0
8072	1
9431	0
4282	1
10278	1
7835	1
2141	1
6181	1
6031	1
6051	1
321	1
4870	0
5457	0
8175	0
7384	1
7726	0
8488	0
4293	0
8318	1
7383	1
7034	0
11411	1
10834	0
10487	1
6083	1
5746	1
9625	0
3312	0
6225	0
702	0
5612	0
2108	0
3212	1
2639	0
11004	1
7996	1
3237	1
6927	1
7632	1
9512	1
9245	1
1134	1
9491	0
4593	0
3510	0
7867	1
8905	0
7590	0
9049	0
2275	1
5071	1
6215	0
1973	1
10305	0
6309	1
4129	1
3107	1
4596	1
3264	1
5229	0
10326	0
5331	0
6557	0
7878	1
7046	1
6758	0
4361	0
8996	0
2759	0
6744	1
2013	1
2016	0
9844	0
1961	0
10271	1
2418	1
9802	0
7357	1
9371	0
697	0
7221	1
8188	1
3089	0
4334	1
8683	1
6497	0
2929	1
1783	1
4182	1
10678	1
2086	0
10891	0
3730	1
205	1
1677	0
10141	1
10038	1
3163	1
5173	1
4910	1
5561	0
6142	1
4453	0
11273	1
969	1
2830	1
10841	0
9056	1
6234	0
1201	0
4866	1
3996	1
840	1
9401	1
361	1
9706	0
10069	1
1129	1
9187	0
9469	0
8771	1
295	1
10086	0
7642	1
188	0
10636	0
11412	1
5053	1
8154	0
753	0
6905	0
59	0
2450	1
3363	0
8309	1
10202	0
2989	1
5907	1
4747	0
8067	0
6830	0
9382	0
10356	1
3519	1
3812	0
2988	0
2751	0
506	1
7097	1
827	1
7963	0
5637	1
6538	0
7012	0
8071	0
503	1
3311	0
9740	1
1760	0
1152	0
2477	1
3899	1
7142	1
5204	1
8160	1
3081	0
6261	1
2586	0
241	0
193	0
10750	1
6384	0
8629	1
9535	0
1376	1
2538	1
10558	1
10056	0
5210	0
121	0
3862	1
1289	0
1897	0
244	0
2327	0
20	1
8238	0
4356	1
9303	0
4732	0
4340	1
3132	0
4060	0
6785	1
6568	0
4047	1
7848	0
2508	1
7772	1
4363	1
5983	1
2050	0
9486	1
7061	1
3401	0
6404	0
10901	1
3398	0
2423	0
6563	0
6376	0
5451	1
5643	0
5780	1
8550	1
8393	1
3736	1
5798	1
5914	0
431	1
8913	1
5137	1
4725	0
4332	1
6596	1
1507	0
6710	1
6320	1
3289	0
8648	1
5650	1
7625	0
3858	0
7769	0
8614	0
9534	1
7838	1
5327	0
11259	0
10503	1
4	1
2868	1
5198	0
5931	0
2712	1
10798	1
184	0
4913	1
4131	1
5430	0
5296	0
2478	0
5157	1
10619	1
8428	0
453	1
7052	1
6640	0
10446	1
2979	1
9701	1
723	1
3030	1
6872	0
7974	0
10460	1
7634	0
1150	1
7768	1
6467	1
3370	0
2994	0
3897	0
7907	0
4074	1
9770	0
4027	0
6668	1
9818	1
10869	0
2953	1
3631	0
4719	0
6545	1
8417	0
10765	0
573	1
6645	1
7558	0
11136	0
9748	1
9493	1
71	1
293	1
4305	0
6638	1
5708	0
913	1
5232	0
7125	0
3868	0
9983	1
4382	1
1824	0
5104	0
11240	1
366	1
8308	1
9076	0
4961	0
3529	1
8322	0
8352	0
199	1
5444	1
6506	0
1741	1
11301	0
8768	0
2644	1
5999	0
324	1
3120	0
2049	0
6369	1
10481	0
529	1
11356	0
10020	0
10483	1
2284	1
929	1
8427	0
7787	0
126	0
10644	1
1456	0
10731	0
1226	0
10395	0
4167	1
8443	0
6501	1
3561	1
1635	0
4439	1
1265	0
3611	0
7030	1
2297	1
5906	1
11426	0
262	0
1003	0
8019	0
7946	0
5625	0
2447	1
10813	1
4678	0
1041	0
674	0
5670	0
10526	1
2414	0
4772	0
7667	1
3552	1
1623	0
4849	0
11403	0
5626	0
4744	0
186	0
8220	1
9878	0
5287	1
6290	0
5215	1
9639	1
4177	1
6078	0
4566	1
9181	0
3366	1
9369	1
8140	0
4828	0
2525	1
938	0
3944	1
6646	0
379	0
6544	0
11214	1
10442	1
10166	0
9785	0
1086	1
7102	0
6020	0
10363	0
2143	1
7631	0
6161	0
5404	0
8021	0
9761	0
9446	1
8914	0
10516	0
2522	1
2973	0
731	0
9263	0
7766	1
4601	0
2986	1
9220	0
4555	0
3874	1
6364	1
7754	0
7463	0
4655	0
388	0
4168	1
7958	1
10642	0
3811	0
7567	0
10087	0
6846	1
5633	0
4455	0
1426	0
1495	0
6848	0
4580	1
8173	0
7112	1
1269	0
9996	1
6510	0
10734	0
1000	0
55	0
7177	1
10729	1
8638	1
9375	1
1535	0
536	1
8676	0
1949	0
8515	1
11232	1
1901	0
3489	1
2458	0
1965	1
10838	1
2070	1
3227	1
1346	1
6654	1
5671	1
5051	0
6229	0
8158	1
6301	1
6475	0
8455	0
7190	0
133	1
6766	0
4196	1
3160	1
1756	1
1147	0
5565	0
9141	1
6703	0
1821	0
7798	0
10769	0
5208	1
5085	0
276	1
5614	1
2246	1
2091	0
9363	1
10922	0
6130	0
6433	0
7072	0
3585	1
11133	0
5691	1
3332	0
8942	0
1888	0
9496	1
6366	0
9835	1
1104	0
4277	0
4815	0
761	1
8460	0
2	0
7864	0
5402	0
9680	1
237	0
10770	1
6442	0
10184	1
1410	0
9482	0
79	0
3152	1
11401	1
3564	0
8636	1
3262	0
6938	1
10076	0
10443	0
11306	1
5062	1
3583	0
8207	0
7512	1
143	1
8011	0
4883	1
1903	1
10535	1
2375	0
2801	1
917	1
9658	1
4124	0
5151	0
1409	1
7745	0
9231	0
6851	0
3911	0
5004	0
5416	0
10689	0
1510	1
1560	1
6808	0
5415	1
891	1
1163	0
2409	0
11197	0
7370	0
2345	0
1138	1
3251	0
11149	0
830	1
6850	1
4839	1
10464	1
2618	1
4324	0
8687	1
327	0
8954	1
8921	1
2951	0
1735	0
9226	0
1489	0
9924	0
5353	0
1298	1
2714	0
5014	1
10275	0
6180	0
8712	0
6609	0
2582	1
1091	0
4757	1
5921	1
4781	1
8644	1
6381	0
154	1
10402	1
8867	0
8808	0
11100	1
4672	0
3224	1
10075	1
1012	0
2975	1
4964	0
5791	0
45	0
3643	1
8522	0
9233	1
355	0
5282	1
1022	1
10448	0
4260	1
5569	1
11180	0
7883	1
1506	1
6561	0
2863	0
4231	1
11115	0
8910	0
9545	0
2627	0
1889	0
8690	1
2962	1
3977	1
2245	0
4482	1
617	0
1325	0
1446	0
9734	1
8860	1
1868	1
10649	0
3610	0
3121	0
6738	0
6187	0
8454	1
10776	0
10799	0
7318	1
367	1
10523	0
9913	0
6251	0
278	1
3487	0
3467	0
224	1
9915	0
2603	1
8929	0
527	0
4785	0
4718	0
10167	0
2889	1
1302	1
7466	1
2513	0
4278	0
8304	1
10664	1
11032	0
11020	1
498	0
1522	1
8855	1
11312	0
4422	0
4859	1
1407	0
8864	0
10147	0
11105	0
4377	0
7517	1
9182	1
7919	0
5712	1
9373	0
9784	0
4851	1
1447	1
6036	0
615	1
3851	0
525	1
5794	0
10551	1
2528	0
2843	1
10875	0
6974	0
6292	0
9212	0
4775	0
1759	0
231	0
5591	1
1899	0
8546	1
10346	0
521	1
6737	0
8089	1
3417	0
1316	0
5665	0
8800	1
4759	1
11369	0
7031	1
8459	0
3281	1
1312	1
11316	1
3028	1
10788	1
1066	1
5701	1
7458	0
667	1
9846	0
10871	0
10011	1
5259	0
9599	0
9171	0
3938	0
6233	0
6426	0
3709	1
4311	0
10118	0
5183	0
11049	0
9383	1
8172	0
6279	0
10709	1
1743	0
592	1
6143	0
3033	1
9577	1
9145	1
8796	0
5050	0
2292	0
11399	0
8106	1
3997	1
7706	0
10489	1
2887	0
1544	0
9250	0
8424	1
2869	0
115	1
3789	0
11263	1
2570	1
3522	0
7135	0
1766	0
2546	1
2936	1
4141	1
9894	1
5961	0
496	1
6500	1
1406	0
9745	1
1207	1
3293	0
3902	1
10176	1
504	1
8244	0
4025	0
7283	1
1863	1
8972	0
3351	1
9603	1
677	0
6548	1
10650	0
3547	0
7997	1
3170	1
6864	1
6672	0
11354	0
11125	0
6086	1
11359	0
10573	1
6962	0
10861	0
1978	1
1669	0
9724	1
6945	1
6860	1
4676	1
5944	1
461	1
10760	0
10860	0
9633	0
3388	1
1202	0
3287	1
7891	1
5818	0
3484	0
6306	0
1430	1
5318	0
3516	1
4004	0
3918	1
5483	0
8504	0
2313	1
7599	0
6408	0
5644	1
5188	1
5181	0
3111	0
9468	1
4405	1
7781	1
9790	0
699	1
1732	1
153	1
1935	0
8747	0
8367	1
3473	1
1559	1
10303	0
3615	1
6686	1
4011	1
2373	1
2602	1
5125	0
836	1
6464	1
8579	1
1005	0
4475	1
9803	0
9348	0
3742	0
6066	0
2170	1
2483	0
4228	1
602	1
9671	0
764	1
2838	0
8476	1
5853	1
9610	0
1146	1
8235	1
10331	1
9423	0
5024	1
5734	1
5100	0
1880	1
10471	1
7964	1
4394	1
4165	0
7788	0
5411	1
6138	0
11103	0
4585	0
4300	0
6275	1
6626	0
3358	1
4119	1
4589	1
6911	1
7523	0
6336	0
10711	1
9311	1
9649	0
991	0
6363	1
6354	1
9110	1
11137	1
1455	0
3109	0
8371	1
10304	0
1982	1
10441	1
8795	1
4076	1
5090	1
7695	1
11039	1
3334	1
855	0
8501	0
10232	1
4745	0
7816	0
11419	1
6648	0
1593	1
8254	1
8291	0
6651	0
1194	0
3495	1
2721	1
2891	0
6954	1
9694	0
3672	0
8688	0
7464	0
10394	1
10412	0
2634	1
7396	1
10159	1
8637	0
10116	0
5972	0
7486	0
7006	0
9873	1
2030	1
7423	1
10509	0
369	0
1287	1
10985	0
399	0
4561	1
2997	1
5900	0
6399	1
6302	1
7832	1
2058	0
5652	0
8559	1
2972	0
861	0
7993	1
10626	1
1619	1
1396	1
4817	0
1135	1
3397	1
391	1
6529	0
9655	0
5002	1
2537	1
10463	1
1047	0
292	1
3407	0
2191	1
10165	1
5424	0
11400	1
10615	0
8033	0
7615	0
1001	0
8126	0
8470	1
9289	0
6955	1
2575	1
4123	0
5583	1
10154	1
1344	0
4882	0
6800	1
10465	0
5551	1
9682	0
2655	0
5890	0
4575	1
8699	1
6772	0
6425	0
10387	1
5617	0
9857	1
8763	1
10065	1
8859	1
512	0
8128	0
8151	1
9322	1
1329	0
7082	0
1942	0
2959	0
3886	0
3290	1
11088	0
3748	0
768	1
420	1
1089	0
11187	0
11116	0
1440	0
3447	1
8568	0
4670	0
127	0
11142	1
1946	0
3746	1
337	0
2761	0
8435	0
3586	0
9772	0
8046	1
713	1
7107	0
1828	0
4659	1
3871	1
5392	1
11037	1
2949	1
2449	1
10197	0
6268	0
4567	0
5316	0
4328	1
7730	1
1154	1
4685	1
3016	1
6015	1
583	1
10882	1
2885	1
1306	0
10728	1
3057	0
2257	1
454	0
8684	0
7254	1
8957	1
1608	0
4559	1
6673	1
11057	1
6262	0
4958	0
897	0
5484	0
9948	0
1043	0
10854	1
4783	1
8253	0
10941	0
1453	1
1887	1
7262	0
11079	1
2656	0
2876	0
7982	0
3983	1
2169	1
10126	1
161	1
5523	0
6867	0
2241	1
3069	1
8228	1
8147	1
2938	0
5479	0
1124	0
2376	1
10733	1
1720	1
1739	0
8499	0
6105	1
5396	1
9430	0
9328	0
3067	0
6019	0
9116	0
10611	1
7274	1
3620	1
1418	0
7385	1
3042	0
693	0
2318	1
1040	1
5548	0
5767	1
7930	1
4975	0
3765	1
10374	1
6045	0
4795	1
2346	0
5153	1
930	0
8801	1
9201	1
6094	1
2607	0
10032	1
4281	0
9667	1
118	1
5705	1
7073	1
11219	0
8439	0
9691	1
7093	0
8706	1
4138	1
11114	0
114	1
3701	0
10676	1
3049	1
2122	0
3492	0
4557	0
3657	1
11093	0
8946	0
9540	1
4379	0
10295	1
2579	1
8928	0
9650	1
6098	1
1350	1
9438	1
8090	1
9771	1
2153	0
10862	1
10529	1
10262	0
2556	0
5610	0
3188	0
10617	1
2410	0
8030	1
5323	0
4899	0
10527	1
10880	0
3508	0
9673	1
8294	0
5374	0
682	1
1679	0
8401	1
9007	1
1716	1
5638	1
2883	0
6689	1
7053	0
9168	1
6527	1
10785	1
10550	1
9888	0
1998	1
67	1
5745	1
8538	1
10382	0
4877	1
7239	1
2926	0
5373	0
1206	0
11147	1
5132	0
10089	1
7279	1
6515	0
7947	0
7948	1
7116	1
7929	0
6456	0
8123	1
11347	0
10353	0
6386	0
1108	0
9538	1
1602	0
8391	0
4461	0
5986	0
1467	1
227	0
5843	0
9795	0
4255	0
8314	0
3669	0
1754	0
422	1
6155	1
9580	1
1797	1
9869	1
5510	1
6393	0
1695	1
1334	0
8756	0
6170	1
2915	0
5184	0
247	1
6383	0
10669	0
3663	1
181	0
3207	0
2194	0
9699	1
9153	0
1184	1
7418	0
3414	0
5828	1
2925	0
2015	1
9270	0
3993	1
5431	0
9474	1
11247	1
7872	0
1956	1
7251	0
5138	0
5206	1
9985	0
8519	1
9012	0
2990	1
10178	1
3509	0
4553	0
4542	0
6522	0
4916	0
9751	0
3009	1
4484	1
9424	1
4443	0
1862	0
9010	0
10584	0
6212	1
1361	1
8159	1
7617	0
4847	0
11002	1
6100	0
4372	1
8742	1
464	0
455	1
1367	0
7356	1
8092	0
11128	1
10528	1
2581	0
1659	0
3349	0
993	0
1653	0
8407	1
2444	1
1062	0
7529	1
4391	1
641	1
7698	1
486	0
1404	1
7571	0
4643	1
9492	0
6498	1
7048	1
755	0
5871	0
10040	1
2080	1
4641	0
5806	0
3317	0
9387	1
5027	1
5526	0
6599	1
5742	1
7824	1
1791	0
6385	1
11111	0
8044	1
4172	0
1715	1
8451	1
5525	0
8117	1
3534	1
5034	0
7342	0
8509	1
7038	0
5315	0
3313	0
3426	1
2802	1
1235	0
9607	0
5095	1
9900	0
10796	0
1752	1
2902	1
4758	1
653	0
1244	1
2638	0
4830	1
4381	1
3609	0
3895	0
3857	1
4207	0
1951	0
6982	0
5200	0
3169	0
8121	1
8388	0
9777	0
4306	1
6552	0
11395	1
5293	1
6249	1
7146	0
234	1
9814	1
7725	0
6798	0
5616	0
788	0
982	1
10595	0
10890	0
1357	0
8675	1
2534	1
10525	1
9565	1
2445	0
4067	1
11153	1
2344	0
4767	1
6004	1
10216	0
11297	0
794	0
9084	1
4790	0
8240	1
2679	1
8746	0
8518	0
5821	0
9411	0
5352	1
6359	1
1553	1
2224	1
6490	1
9903	1
5241	0
10654	0
9146	0
719	1
2606	0
2127	1
9307	0
9053	1
10365	1
8138	0
9612	1
4906	0
8287	1
10652	1
7365	1
10852	1
1158	1
4814	1
344	1
7193	0
515	0
5873	1
8008	1
7004	1
5837	0
650	0
5387	1
10121	1
10084	1
5949	1
582	0
9329	1
3318	0
11409	1
10149	1
5585	1
2520	0
4109	1
1342	1
10383	0
11060	0
9707	1
2822	0
11329	1
11290	0
8275	1
8167	1
7976	1
9388	1
4703	1
3832	0
10024	1
951	1
9271	0
6813	0
8635	1
4211	0
8150	0
5176	0
2187	1
9507	0
8856	0
1654	1
7369	1
7683	0
3630	0
6157	1
8192	1
9781	0
10173	1
10559	0
7175	1
7900	1
9304	0
9656	0
9780	1
3302	1
7952	0
8968	0
6819	0
1492	0
2225	0
3542	0
665	0
7547	1
4823	1
9020	1
1106	1
4143	1
567	0
6951	1
5342	0
2300	1
9062	1
10747	1
6967	1
9253	0
9471	0
10021	1
6660	0
8114	0
11278	1
10476	1
1388	0
8474	0
1705	1
3429	1
7083	0
7090	1
5615	1
3646	0
7611	1
4572	1
4295	0
3328	0
5938	1
888	1
2615	1
5438	0
10316	0
3373	0
3869	0
8980	0
620	1
8103	1
4183	1
2420	1
10484	0
742	1
8110	0
3268	0
8052	1
2940	1
8283	0
976	0
2501	0
10806	0
1037	1
6452	1
9453	1
4890	1
10432	0
9480	0
1308	0
4380	1
1472	1
10896	0
8404	0
151	0
7427	1
10265	0
7662	0
222	1
10287	1
2769	0
4184	0
6727	1
5250	1
9050	1
7624	0
8479	0
10473	0
752	0
9185	1
6238	1
6863	1
5696	1
5127	1
1969	1
36	0
10614	1
8013	0
5213	0
10370	1
5700	0
8402	0
5305	0
5529	0
6658	1
6891	0
3737	1
2233	0
3616	0
1784	0
9377	1
2443	1
5268	1
11	1
483	0
3686	1
1270	0
11159	1
6631	0
2847	1
10434	1
1405	0
2708	0
5246	0
10562	0
10364	0
3539	1
9154	1
2158	0
2310	0
10831	0
5026	0
9405	1
2228	1
3304	1
9551	1
11101	0
9370	1
291	1
5814	0
3177	1
5201	1
1432	1
3795	1
9143	1
9409	1
3739	0
7743	1
1864	1
4714	0
3986	0
8943	0
9164	1
4892	0
2433	1
2140	0
1550	0
5442	1
4543	0
1085	1
6748	1
4674	1
2383	0
3667	0
8412	1
7871	1
8062	1
5135	0
2085	0
1297	1
8761	0
3661	0
7304	1
4037	0
9442	0
999	1
3333	1
10667	1
6307	1
6448	1
10296	1
281	0
3648	1
5324	0
1249	0
10524	1
4397	0
4614	1
9641	0
5836	0
11227	1
780	0
5303	0
11315	0
5927	0
2768	1
5903	1
4312	0
711	0
4778	0
11254	0
3971	1
6465	0
10043	0
5260	0
4784	1
10963	1
217	1
7581	0
9729	1
4399	0
9286	1
6179	1
998	1
10957	1
6698	1
10273	1
9933	1
2084	0
1958	0
2464	0
560	1
8390	0
10752	1
7785	1
876	1
4220	1
2457	0
6255	1
767	0
7920	0
7913	0
6975	0
9256	1
1638	1
5190	1
3064	0
7270	1
1097	1
1865	0
10756	0
7311	0
7317	1
9601	1
7737	1
2212	1
2831	0
9287	1
2619	0
4610	0
801	0
4354	0
1702	0
2073	1
1088	0
6786	1
4140	0
789	0
6747	0
10053	1
10203	0
3955	1
4704	0
9592	0
2589	1
1750	0
7439	1
3327	1
737	1
3566	1
4642	0
7724	1
1279	0
5532	0
2530	0
2590	1
2472	0
2451	1
4309	0
9258	0
5012	0
7588	0
7910	1
1365	0
8617	0
8523	1
3441	0
6941	1
7291	1
5975	0
7654	0
3255	1
1793	1
6056	0
9127	0
5065	1
9045	0
6173	1
3992	0
10114	0
3934	1
11407	0
9584	0
10902	1
1945	1
6937	1
2531	1
202	0
9845	0
2188	1
8616	0
10042	1
7195	0
3954	0
6719	1
6174	1
7663	0
8825	0
8992	0
10122	1
988	1
5752	1
799	0
2739	1
3979	1
6156	1
8772	1
6038	1
10310	0
9572	0
8935	1
3872	0
3494	1
3350	0
601	0
4603	1
6466	1
1966	0
5600	1
10961	0
591	0
505	1
10843	1
4889	1
1233	0
2913	0
7410	0
3676	1
263	1
1394	1
6781	1
9006	1
8711	1
3726	0
1979	1
2750	1
5796	1
3400	0
9587	1
9982	1
906	0
6435	1
6629	0
2235	0
9995	1
8091	1
6324	0
7413	0
10254	0
1286	1
5429	1
6650	0
1326	0
3830	0
14	1
4615	0
7227	0
6411	0
5729	0
2462	1
4368	0
2111	0
1164	0
1417	0
11243	1
8561	0
2065	0
8248	0
7485	0
6373	1
3764	0
11096	1
2991	1
6989	1
7795	1
5603	0
8764	1
7414	0
10234	1
6621	0
4445	1
4825	0
10378	1
5020	0
8093	0
10566	1
10742	0
7044	1
10354	0
7732	0
2336	0
155	1
11126	0
5485	0
5075	1
9980	1
10486	0
11099	1
425	0
732	1
749	0
8171	0
10982	0
5388	0
6657	1
9561	0
2120	1
1976	0
9309	0
9504	0
9124	0
6010	1
1359	1
9879	1
10046	0
11310	1
8848	0
4844	1
9602	1
3247	0
5943	1
490	1
9319	0
6240	1
3176	1
4503	0
2771	1
5134	0
7063	1
2347	1
8993	0
2356	1
7854	1
11201	1
3834	0
5251	1
2185	0
2222	0
5224	0
7638	1
11244	0
710	0
1988	1
2167	0
4515	0
4351	1
3130	0
784	1
1282	0
1119	1
9360	0
3348	1
9308	1
7172	1
10844	0
6431	0
1486	0
250	1
6996	1
6803	0
3419	0
75	0
2189	0
5223	0
691	0
5143	1
5144	1
2495	1
5096	0
2641	0
10164	1
8840	1
7340	0
8891	0
6930	1
10513	0
6299	1
2552	1
2000	1
1565	0
636	1
2845	0
3215	1
8573	0
2075	0
2272	0
1352	0
3279	1
550	0
3550	1
2118	1
8562	1
1060	1
5965	0
2251	0
6590	1
10454	0
10851	1
8530	1
8251	0
3404	1
9242	0
3870	0
3778	1
3422	1
8496	0
5998	0
304	0
10276	1
7395	1
8280	1
605	0
3180	1
1222	0
7105	0
2502	0
8132	0
2937	1
759	1
412	1
5854	1
105	0
2076	0
3548	0
5893	1
2236	1
3990	0
8350	1
2601	0
1336	0
8174	1
2192	0
10885	0
9522	1
1893	0
9204	0
448	0
8899	0
6495	0
1468	0
576	0
2497	0
8606	1
673	1
5988	0
4909	1
49	0
6333	1
3440	1
1569	1
9657	1
10792	0
125	0
2500	0
9343	0
8782	1
645	0
2706	0
6699	0
3649	0
6221	0
3961	0
1968	1
652	1
2982	1
4347	0
9779	1
9112	0
8074	1
11177	0
2614	0
4480	1
1989	0
5452	1
9794	1
4897	1
10671	1
10687	0
1439	0
8206	0
3925	0
3112	0
9316	0
708	1
7057	0
9261	1
9144	0
3887	1
6069	0
3833	1
11328	0
10757	0
235	1
9126	0
11224	1
2017	1
8696	0
288	1
10943	0
6162	0
9085	1
6888	0
7115	0
7856	1
3847	1
11077	0
4318	0
1531	0
7693	0
6551	1
8581	0
1461	1
8157	1
7430	1
3335	1
5276	1
610	1
1488	1
6107	0
3437	0
10497	0
8461	1
1512	0
2398	1
2372	0
1729	1
9481	1
1415	0
11262	0
7957	0
8863	1
6361	1
9073	1
7908	0
648	1
3205	1
6907	0
8012	1
10520	1
4243	0
8081	0
5469	1
2124	1
9638	0
7469	0
10965	1
102	1
2932	1
3995	1
10063	0
8213	1
2930	1
7363	0
7550	0
2998	0
570	0
6057	0
1822	0
7008	1
4544	0
8264	1
8263	0
271	0
6310	0
8161	0
7556	1
9674	1
2825	1
3452	1
1772	1
10117	1
8971	0
10542	1
5595	1
2446	0
10781	1
9460	1
6478	0
781	0
7509	0
7493	1
6053	0
5519	0
5023	0
10820	0
10177	1
5707	1
4437	0
9945	0
1240	0
8931	0
1143	1
5594	0
4743	1
108	0
2471	1
6458	0
6695	1
2646	0
7751	0
7096	1
7744	0
7421	0
397	0
364	0
3500	1
8887	0
5289	0
1157	1
405	0
2135	1
5846	1
11402	1
3650	0
3413	1
170	0
9755	1
6265	1
4274	1
9107	1
6674	0
8534	0
2340	0
6607	1
2536	1
2078	0
3932	1
4697	1
214	1
1959	0
10319	0
2577	0
11166	1
8685	0
3416	0
3788	0
9225	0
1709	1
952	0
4582	1
575	0
2533	1
10226	1
1428	1
5556	0
8143	0
10827	1
5792	1
8600	0
1558	1
4640	0
9582	0
4974	1
10793	0
1995	0
718	1
2470	1
8250	0
4483	0
8202	1
6453	1
268	1
5857	0
10618	1
1438	0
5675	0
4731	1
5749	0
985	0
254	1
807	1
6235	0
5568	1
438	1
10990	0
2866	1
5386	0
9928	0
6287	0
5887	0
1627	0
383	1
6132	1
8666	1
1182	0
1781	1
11222	1
3472	1
8807	1
3684	1
2046	1
7002	0
1962	0
10007	0
4942	1
8869	0
7068	0
6349	0
10168	0
477	1
686	1
11196	1
8058	1
6750	1
7047	0
3410	0
4696	1
6950	0
2119	1
5511	1
2729	0
209	0
6111	0
7874	0
10209	1
56	0
10169	1
4016	1
950	0
113	0
8759	1
7690	1
9209	1
3343	1
2278	0
3093	1
6934	1
8977	0
3861	1
4429	1
3234	1
11275	1
4528	1
6351	0
10995	1
8170	0
1765	0
2816	1
381	1
692	0
6232	1
10865	0
8290	0
7094	1
3683	0
5018	1
9266	0
4469	0
11073	1
9518	0
5832	0
510	0
9896	1
6919	0
6236	0
362	0
10194	1
1337	0
5422	0
10174	0
8981	0
9521	1
2919	0
994	0
3039	0
9513	1
10673	0
1497	0
7114	0
2021	1
4932	0
3782	0
6589	1
11151	0
9361	0
2784	1
9294	1
11005	0
7451	1
4376	0
1491	0
8212	0
2790	0
3813	0
11144	1
4578	1
6160	0
9979	1
1366	0
8487	1
9178	1
2242	0
7554	1
2828	1
6823	1
299	0
11119	0
9160	0
5769	0
2523	1
5672	0
2917	0
9033	1
540	0
3141	1
5605	1
10048	1
8375	0
3975	0
5530	1
4520	1
6840	1
8257	1
5657	0
4427	1
1192	1
1528	0
2791	1
1563	0
7062	1
9969	0
9645	1
2279	0
320	1
3800	0
10213	1
4908	1
2197	1
10723	1
7562	0
5490	1
6581	0
10308	1
8874	0
9500	0
11295	1
6260	1
132	0
6283	1
1281	0
8060	0
4944	1
899	0
353	0
5727	0
7230	0
9683	1
10670	0
642	1
2742	1
10142	0
7159	1
8038	1
4534	0
1450	0
11258	1
4702	1
1647	0
9342	0
6108	1
9516	0
10403	0
9731	0
5725	1
4579	1
7345	1
2382	0
8432	0
3882	1
11041	1
8426	1
1241	1
4858	0
9570	1
9951	0
10266	0
447	0
1263	1
5719	1
7574	1
8338	0
6472	0
6012	1
1733	0
4247	0
10467	0
103	0
8351	1
3412	1
8122	0
6720	0
736	0
338	0
10329	0
7148	1
9614	0
3257	0
4948	1
886	1
3951	1
47	0
4754	1
7639	0
10999	1
8862	1
9351	0
10493	0
9908	1
5142	1
8607	1
701	0
501	0
9893	0
11372	1
7479	0
8610	1
1683	0
631	1
8517	1
2793	1
3829	0
678	1
8464	1
8722	1
4499	0
5108	0
2963	1
842	0
8987	0
6039	0
743	0
8354	1
8289	1
2663	0
4565	0
2352	1
5654	0
10505	1
4723	0
3787	0
8232	0
870	1
8665	0
7341	1
7498	1
5420	1
10808	0
748	1
9783	0
1014	0
5930	1
9296	1
3660	1
8681	1
6866	0
6853	1
6272	0
6046	1
3560	0
1907	0
1465	1
6144	1
6481	0
6505	1
7845	1
977	0
4760	1
7884	1
7459	0
3131	1
2033	0
5311	1
6663	1
8197	0
1549	0
10693	0
8255	1
10392	1
2226	1
4415	0
1053	0
10059	0
9842	0
1699	0
4089	1
3183	1
9800	0
10270	0
415	1
5182	1
3711	0
10647	1
4663	1
10549	1
9404	1
8777	1
1875	1
10225	1
5951	1
9789	0
1195	1
6005	0
9838	1
9034	0
3848	1
5309	0
1910	1
7070	1
